Timestamp,Air_speed,Temperature_AHT20,Temperature_MLXA,Temperature_MLXB,Tensometer,Power_supply_current,Power_supply_voltage,Power_supply_charge,Power_supply_temperature
2025-12-11T13:55:25.868,0.01,4.17,4.22,4.52,-0.58,-1.87,0.0,-0.0,21.7
2025-12-11T13:55:26.055,0.01,8.34,8.4,8.98,-0.29,-2.17,0.0,-0.0,21.7
2025-12-11T13:55:26.225,0.01,12.52,12.63,13.43,-0.2,-3.11,0.0,-0.0,21.71
2025-12-11T13:55:26.398,0.03,16.7,16.86,17.87,-0.14,-2.5,0.0,-0.0,21.69
2025-12-11T13:55:26.584,0.04,20.88,21.08,22.39,-0.16,-0.95,0.0,0.0,21.68
2025-12-11T13:55:26.748,0.05,20.9,21.0,22.4,-0.61,-0.02,0.0,-0.0,21.7
2025-12-11T13:55:26.921,0.05,20.91,21.03,22.46,0.13,-0.32,0.0,-0.0,21.72
2025-12-11T13:55:27.210,0.05,20.91,21.02,22.45,-0.96,3.41,0.0,-0.0,21.7
2025-12-11T13:55:27.312,0.05,20.92,21.01,22.52,-0.06,6.24,0.0,-0.0,21.71
2025-12-11T13:55:27.446,0.06,20.92,20.94,22.51,-0.19,1.58,0.0,-0.0,21.72
2025-12-11T13:55:27.868,0.05,20.92,20.99,22.49,-0.45,-1.22,0.0,-0.0,21.7
2025-12-11T13:55:27.935,0.05,20.92,21.02,22.45,-0.1,-0.31,0.0,-0.0,21.7
2025-12-11T13:55:27.982,0.06,20.92,21.03,22.44,-0.73,-4.04,0.0,-0.0,21.69
2025-12-11T13:55:28.146,0.04,20.93,20.95,22.44,-0.33,-6.87,0.0,-0.0,21.71
2025-12-11T13:55:28.468,0.04,20.93,20.95,22.43,-0.16,-4.69,0.0,-0.0,21.68
2025-12-11T13:55:28.495,0.03,20.94,20.97,22.44,-0.6,-0.34,0.0,-0.0,21.7
2025-12-11T13:55:28.660,0.03,20.94,20.96,22.42,0.01,-2.19,0.0,-0.0,21.7
2025-12-11T13:55:28.995,0.04,20.94,20.89,22.41,-0.41,0.92,0.0,-0.0,21.7
2025-12-11T13:55:29.014,0.04,20.94,20.87,22.42,-0.49,1.54,0.0,-0.0,21.7
2025-12-11T13:55:29.184,0.03,20.93,20.95,22.43,-0.05,3.41,0.0,-0.0,21.71
2025-12-11T13:55:29.576,0.04,20.93,20.96,22.43,-0.01,3.41,0.0,-0.0,21.69
2025-12-11T13:55:29.596,0.04,20.93,20.95,22.41,-0.03,3.09,0.0,-0.0,21.7
2025-12-11T13:55:29.719,0.04,20.93,20.93,22.41,-0.02,2.78,0.0,-0.0,21.7
2025-12-11T13:55:30.112,0.05,20.93,21.01,22.41,0.13,0.31,0.0,-0.0,21.69
2025-12-11T13:55:30.113,0.05,20.93,21.01,22.4,0.35,-0.93,0.0,-0.0,21.68
2025-12-11T13:55:30.249,0.05,20.93,21.01,22.41,0.18,-1.54,0.0,-0.0,21.69
2025-12-11T13:55:30.605,0.05,20.93,20.95,22.41,-0.22,3.43,0.0,-0.0,21.71
2025-12-11T13:55:30.626,0.05,20.93,21.01,22.47,0.31,0.95,0.0,-0.0,21.71
2025-12-11T13:55:30.755,0.05,20.93,21.03,22.49,-0.24,2.8,0.0,-0.0,21.7
2025-12-11T13:55:31.113,0.05,20.93,21.02,22.49,-0.21,1.24,0.0,-0.0,21.7
2025-12-11T13:55:31.114,0.05,20.93,20.92,22.44,0.14,2.17,0.0,-0.0,21.69
2025-12-11T13:55:31.277,0.05,20.93,20.97,22.43,0.39,-3.43,0.0,-0.0,21.69
2025-12-11T13:55:31.632,0.05,20.94,20.99,22.45,0.15,-2.82,0.0,-0.0,21.7
2025-12-11T13:55:31.659,0.05,20.94,20.98,22.43,0.07,-4.37,0.0,-0.0,21.69
2025-12-11T13:55:31.801,0.04,20.93,20.93,22.43,0.02,-5.0,0.0,-0.0,21.69
2025-12-11T13:55:32.180,0.05,20.93,20.93,22.39,0.66,-8.43,0.0,-0.0,21.69
2025-12-11T13:55:32.195,0.05,20.93,20.95,22.4,-0.18,-5.93,0.0,-0.0,21.71
2025-12-11T13:55:32.326,0.05,20.93,20.96,22.4,0.36,-4.06,0.0,-0.0,21.7
2025-12-11T13:55:32.759,0.05,20.93,20.9,22.41,-0.01,-1.26,0.0,-0.0,21.7
2025-12-11T13:55:32.790,0.05,20.94,20.87,22.41,-0.62,3.41,0.0,-0.0,21.71
2025-12-11T13:55:32.860,0.05,20.94,20.95,22.41,-0.01,6.52,0.0,-0.0,21.7
2025-12-11T13:55:33.024,0.05,20.94,20.95,22.43,0.77,3.09,0.0,-0.0,21.69
2025-12-11T13:55:33.319,0.05,20.94,20.93,22.42,-0.4,-0.02,0.0,-0.0,21.7
2025-12-11T13:55:33.413,0.05,20.94,20.9,22.42,0.35,1.22,0.0,-0.0,21.71
